game,genres,developer,score,likes
Metal Gear Solid 2: Sons of Liberty,"Action,Adventure,Modern",KCEJ,96,0
Grand Theft Auto: San Andreas,"Action,Adventure,Modern",RockstarNorth,95,1
Wolfenstein: The New Order,"General,Action,Shooter,First-Person,Historic,Arcade",BethesdaGameStudios,79,0
The Elder Scrolls V: Skyrim,"Role-Playing,First-Person,Western-Style",BethesdaGameStudios,92,1
Fallout 4,"General,Role-Playing,Western-Style",BethesdaGameStudios,87,0
Fallout 76,"Role-Playing,Western-Style",BethesdaGameStudios,49,0
The Legend of Zelda: Ocarina of Time,"Action,Adventure,Fantasy",Nintendo,99,0
The Legend of Zelda: Breath of the Wild,"Action,Adventure,Open-World",Nintendo,97,1
Resident Evil 4,"Action,Adventure,Horror",Capcom,96,1
The Legend of Zelda: The Wind Waker,"Action,Adventure,Fantasy",Nintendo,96,0
Gran Turismo,"Driving,Racing,GT / Street",PolyphonyDigital,70,0
BioShock,"Action,Shooter,First-Person,Sci-Fi,Arcade","IrrationalGames,2KMarin",96,1
Baldur's Gate II: Shadows of Amn,"Role-Playing,PC-style RPG,Western-Style",BioWare,79,0
Pro Evolution Soccer 2009,"Sports,Traditional,Team,Soccer,Sim",Konami,75,1
Nidhogg 2,"Action,General",Messhof,75,1
The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,"Adventure,Point-and-Click","TelltaleGames,SkyboundGames",75,1
Diablo,"Role-Playing,Action RPG",Blizzard,94,1
Diablo II,"Role-Playing,Action RPG",Blizzard,88,1
Devil May Cry 5,"Action,Adventure,General",Capcom,87,1
Super Meat Boy,"Action,Platformer,2D",TeamMeat,87,1
Dragon Ball Z: Sagas,"Action,Beat-'Em-Up",AvalancheSoftware,48,1
Sonic Unleashed,"Action,Platformer,2D,3D",SonicTeam,54,1
Mortal Kombat 11: Aftermath,"Action,Fighting,2D",NetherRealmStudios,75,1
League of Legends,"Role-Playing,Strategy,Action RPG,Real-Time,MOBA",RiotGames,78,1
Legends of Runeterra,"Strategy,Turn-Based,Card Battle",RiotGames,87,1
Valorant,"Action,Shooter,First-Person,Tactical",RiotGames,80,1
Superliminal,"Adventure,3D,First-Person",PillowCastleGames,80,1
Bleach: The 3rd Phantom,"Strategy,Turn-Based,General,Fantasy","Sega,TomCreate",59,0
Devil May Cry 5,"Action,Adventure,General",Capcom,87,1
Super Meat Boy,"Action,Platformer,2D",TeamMeat,87,1